episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
113,100,10342.3859,70.30223,0.42533,12,11.37276,0.75,0.0,0.25,0.0,5.0,0.54052,0.28449,0.25604,0.45948,1.0,0,11,0,6,303.53749,0.0,53.00294
114,100,10429.27953,86.89364,0.44529,15,13.83728,0.80274,0.0,0.19726,0.0,9.0,0.5524,0.28771,0.26469,0.4476,1.0,0,13,0,8,404.42728,0.0,52.00867
115,100,10559.22815,129.94862,0.42392,15,12.00898,0.75294,0.0,0.125,0.12206,7.0,0.36938,0.19238,0.17699,0.63062,1.0,0,13,0,8,342.68665,0.6953,50.99725
116,100,10651.72822,92.50007,0.44733,24,18.79488,0.75,0.0,0.125,0.125,12.0,0.8054,0.40541,0.4,0.19459,1.0,0,9,0,13,422.66822,1.17437,49.01048
117,100,10781.13365,129.40543,0.37598,36,28.1305,0.76848,0.0,0.10652,0.125,23.0,0.88353,0.45078,0.43275,0.11647,1.0,0,6,0,20,379.39765,1.66622,45.04151
118,100,10928.80037,147.66672,0.49771,43,33.87696,0.86939,0.0,0.00561,0.125,21.0,0.97291,0.51919,0.45372,0.02709,1.0,0,2,3,21,428.94603,1.4687,48.9804
119,100,11016.30044,87.50007,0.38506,23,19.31856,0.78762,0.0,0.125,0.08738,8.0,0.81714,0.42857,0.38857,0.18286,1.0,0,8,0,11,335.88923,0.57536,50.00395
120,100,11094.30051,78.00007,0.41431,18,16.11141,0.99159,0.0,0.00841,0.0,6.0,0.69231,0.38462,0.30769,0.30769,1.0,0,12,1,6,547.94704,0.0,55.97795
121,100,11239.6339,145.33339,0.38418,40,37.9092,1.0,0.0,0.0,0.0,24.0,0.90367,0.47018,0.43349,0.09633,1.0,0,7,1,22,385.9239,0.0,52.98697
122,100,11301.94143,62.30753,0.37932,12,11.37276,1.0,0.0,0.0,0.0,3.0,0.5644,0.30761,0.25679,0.43559,1.0,0,13,0,4,305.50108,0.0,56.99192
123,100,11403.10816,101.16673,0.41291,27,25.39866,1.0,0.0,0.0,0.0,21.0,0.84184,0.43657,0.40527,0.15815,1.0,0,8,0,14,334.39192,0.0,55.99095
124,100,11559.27488,156.16672,0.40565,48,45.38458,0.90545,0.0,0.09455,0.0,19.0,0.97439,0.50694,0.46745,0.02561,1.0,0,2,0,25,329.50965,0.0,53.99768
125,100,11630.44161,71.16674,0.43485,15,13.74534,0.65858,0.0,0.34142,0.0,10.0,0.63466,0.33958,0.29508,0.36534,1.0,0,13,0,6,375.27139,0.0,56.99388
126,100,11703.44169,73.00007,0.49424,18,16.76013,0.76692,0.0,0.23308,0.0,5.0,0.78082,0.41096,0.36986,0.21918,1.0,0,8,0,9,291.92348,0.0,56.99354
127,100,11795.20982,91.76813,0.38339,22,20.69433,0.875,0.0,0.125,0.0,10.0,0.76098,0.39048,0.3705,0.23902,1.0,0,10,0,12,302.73499,0.0,55.00737
128,100,11865.54323,70.33341,0.35764,14,13.08272,0.875,0.0,0.125,0.0,8.0,0.63033,0.33175,0.29858,0.36967,1.0,0,13,0,7,360.82861,0.0,55.00521
129,100,11926.70997,61.16674,0.42335,12,11.21703,0.875,0.0,0.125,0.0,6.0,0.60763,0.31335,0.29428,0.39237,1.0,0,12,0,6,328.27907,0.0,55.00399
130,100,11986.04338,59.33341,0.49167,9,8.22623,0.79695,0.0,0.20305,0.0,4.0,0.46067,0.22472,0.23595,0.53933,1.0,0,16,0,5,312.34162,0.0,54.01023
131,100,12055.39979,69.35641,0.39489,13,11.98734,0.55134,0.0,0.44866,0.0,6.0,0.54789,0.28837,0.25953,0.4521,1.0,0,12,0,5,426.95242,0.0,56.99595
132,100,12115.2332,59.83341,0.3664,10,8.79194,0.56874,0.0,0.43126,0.0,6.0,0.53203,0.26462,0.26741,0.46797,1.0,0,14,0,6,325.45553,0.0,55.00946
133,100,12215.21971,99.98652,0.33533,13,11.88966,0.68516,0.0,0.31484,0.0,6.0,0.39839,0.20836,0.19003,0.60161,1.0,0,13,0,6,409.89721,0.0,56.00275
134,100,12273.05312,57.83341,0.43492,7,6.08199,0.5,0.0,0.5,0.0,3.0,0.37752,0.18732,0.1902,0.62248,1.0,0,18,0,4,481.35433,0.0,55.00549
135,100,12347.43971,74.38659,0.35973,14,12.36451,0.50304,0.0,0.49696,0.0,8.0,0.57134,0.30247,0.26887,0.42866,1.0,0,13,0,6,576.72804,0.0,56.99597
136,100,12433.43978,86.00007,0.44277,22,20.41923,0.54542,0.0,0.45458,0.0,11.0,0.7907,0.40698,0.38372,0.2093,1.0,0,9,0,11,469.80584,0.0,56.99207
